"","nome","idCanal","views","comentarios","inscritos","qtdeVideos","pais","dinheiro"
"1","YouTube Spotlight","UCBR8-60-B28hp2BmDPdntcQ",1140446497,496503,25571011,256,"Estados Unidos",4454.86912890625
"2","KatyPerryVEVO","UC-8Q-hLdECwQmaWNwXitYDw",14126874020,46280,25011229,123,"Estados Unidos",114852.634308943
"3","TaylorSwiftVEVO","UCANLZYMidaCbLQFWXBC95Jg",12949765439,39427,25085910,79,"Estados Unidos",163921.081506329
"4","EminemVEVO","UC20vb-R_px4CguHzzBPhoyQ",9286164717,112632,23541648,66,"Estados Unidos",140699.465409091
"5","Smosh","UCY30JRSgfhYXA6i6xX1erWg",6747675775,1377627,22737697,915,"Estados Unidos",7374.50904371585
"6","Dude Perfect","UCRijo3ddMTht_IHyNSNXpNQ",3858140734,2891,22998696,161,"Estados Unidos",23963.6070434783
"7","TheEllenShow","UCp0hYYBW6IMayGgR-WeoCvQ",9974909453,137050,20854089,7831,"Estados Unidos",1273.7721176095
"8","nigahiga","UCSAUGyc_xA8uYzaIVG6MESQ",3493603417,73077,20110031,320,"Estados Unidos",10917.510678125
"9","Markiplier","UC7_YxT-KID8kRbqZo7MyscQ",8171279854,15076,18544431,3865,"Estados Unidos",2114.17331280724
"10","ArianaGrandeVevo","UC0VOyT2OCBKdQhF3BAbZ-1g",7660602569,2715,18087721,75,"Estados Unidos",102141.367586667
"11","freekickerz","UCC9h3H-sGrvqd2otknZntsQ",1491040436,2793,5816354,1211,"Alemanha",1231.24726341866
"12","Kurzgesagt <U+0096> In a Nutshell","UCsXVk37bltHxD1rDPwtNM8Q",299978336,23,4910476,67,"Alemanha",4477.28859701493
"13","Gronkh","UCYJ61XIK64sp6ZFFS8sctxw",2380961556,450436,4660032,9759,"Alemanha",243.975976636951
"14","BibisBeautyPalace","UCHfdTAyg5t4mb1G-3rJ6QsQ",1598209264,83,4598286,531,"Alemanha",3009.81029001883
"15","Kontor.TV","UCb3tJ5NKw7mDxyaQ73mwbRg",4101777406,9565,4400532,1750,"Alemanha",2343.87280342857
"16","Julien Bam","UCTXeJ33DzXI2veQpKfrvaYw",739430806,17,4347429,205,"Alemanha",3606.97954146341
"17","ApeCrime","UCw_T-wN5D_NbfwFp4ztQvBA",880089083,4658,3594640,622,"Alemanha",1414.9342170418
"18","Dagi Bee","UCpZ_DI-ZugwMzXcqccaTVsg",768640411,227,3600535,429,"Alemanha",1791.70258974359
"19","Majestic Casual","UCXIyz409s7bNWVcM-vjfdVA",1437637999,1325,3555902,1542,"Alemanha",932.320362516213
"20","Simon Desue","UCrDAFagvWYuScZMzqs-OslA",521584510,119559,3512810,407,"Alemanha",1281.53442260442
"21","OneDirectionVEVO","UCbW18JZRgko_mOGm5er8Yzg",7591385561,45861,22665634,171,"Reino Unido",44394.0676081871
"22","Ed Sheeran","UC0C-w0YjGpqDXGB8IHb662A",9067672082,4565,21448685,111,"Reino Unido",81690.7394774775
"23","KSI","UCVtFOytbRpEvzLjvqGG5gxQ",1509035660,32717,17239882,136,"Reino Unido",11095.8504411765
"24","DanTDM","UCS5Oz6CHmeoF7vSad0qqXfw",11089324571,2014,16452717,2579,"Reino Unido",4299.85442846064
"25","AdeleVEVO","UComP_epzeKzvBX156r6pm1Q",6225785723,16190,15306970,31,"Reino Unido",200831.797516129
"26","NoCopyrightSounds","UC_aEa8K-EOJ3D6gOs7HcyNg",3371756891,2472,12956325,410,"Reino Unido",8223.79729512195
"27","Vsauce","UC6nSFpj9HTCZ5t-N3Rm3-HA",1284748142,17917,12484916,342,"Reino Unido",3756.57351461988
"28","Zoella","UCWRV5AVOlKJR1Flvgt310Cw",1023545460,5384,12015462,354,"Reino Unido",2891.3713559322
"29","W2S","UCjtLOfx1yt1NlnFIDyAX3Ug",2984478258,308,11281851,625,"Reino Unido",4775.1652128
"30","TheSyndicateProject","UC1ieoHqKW-yYgDhLHIcx28w",2002873753,286852,10033839,3232,"Reino Unido",619.701037438119
"31","David Guetta","UC1l7wYrva1qCH-wgqcHaaRg",8713726257,6400,14740044,399,"França",21838.912924812
"32","Cyprien","UCyWqModMQlbIo8274Wh_ZsQ",1675893567,25624,11349471,117,"França",14323.8766410256
"33","NORMAN FAIT DES VID<c9>OS","UCww2zZWg4Cf5xcRKG-ThmXQ",1624486086,16490,9843238,132,"França",12306.7127727273
"34","SQUEEZIE","UCWeg2Pkate69NFdBeuRFTAw",3977311707,9563,8924137,1146,"França",3470.60358376963
"35","R<e9>mi GAILLARD","UCmPSwsooZq8an7xOLQQhAdw",1644445384,54036,6405755,153,"França",10748.0090457516
"36","CyprienGaming","UCWMYFDuCcvkmPiOf1RP_IKQ",630421126,2885,4503194,246,"França",2562.68750406504
"37","TheSoundYouNeed","UCudKvbd6gvbm5UCYRk5tZKA",1522288973,121,4235003,285,"França",5341.36481754386
"38","Mister V","UC8Q0SLrZLiTj5s4qc9aad-w",301371440,7844,4032135,38,"França",7930.82736842105
"39","Le Rire Jaune","UCTt2AnK--mnRmICnf-CCcrw",547682185,268,3957043,104,"França",5266.17485576923
"40","Natoo","UCtihF1ZtlYVzoaj_bKLQZ-Q",460771335,519,3816909,64,"França",7199.552109375
"41","T-Series","UCq-Fj5jknLsUf-MWSy4_brA",23976399376,2264,25476475,11453,"Índia",2093.46017427748
"42","SET India","UCpEhnqL0y41EpW2TvWAHD7Q",11122936178,9615,15220407,18652,"Índia",596.340133926657
"43","ChuChu TV Nursery Rhymes & Kids Songs","UCBnZ16ahKA2DZ_T5W0FPUXg",10649340742,10,12158867,179,"Índia",59493.523698324
"44","Zee Music Company","UCFFbwnve3yF62-tVXkTyHqg",5677498415,0,9191318,2542,"Índia",2233.47695318647
"45","zeetv","UCppHT7SZKKvar4Oc9J4oljQ",10656026683,3394,8403432,70097,"Índia",152.018298686106
"46","Sony Music India","UC56gTxNs4f9xZ7Pa2i5xNzg",4337619974,648,7984075,2004,"Índia",2164.4810249501
"47","Eros Now","UCX52tYZiEh_mHoFja3Veciw",6052733846,241,7493591,9947,"Índia",608.498426259174
"48","Colors TV","UC55IWqFLDH1Xp7iu1_xknRA",4602269096,2466,6957608,15803,"Índia",291.22755780548
"49","CVS 3D Rhymes","UCsPF3cApzCohxPp5oKdoWSQ",5746940995,81,7329480,296,"Índia",19415.3411993243
"50","YRF","UCbTLwN10NoCU4WDzLf1JMOA",4199235670,3780,5868692,3602,"Índia",1165.80668239867
"51","Marzia","UCe9oofjVfJzapRyVlt57x8Q",385935097,5753,7156243,288,"Itália",1340.05242013889
"52","<U+279C>FavijTV<U+0099>","UCSFC5Cio8zaLQDFPxA7y_HQ",1968372300,9963,4046379,1437,"Itália",1369.77891440501
"53","iPantellas","UCD-aXv7CMezGSTfxmKAD6Ag",773892266,13504,2952826,249,"Itália",3108.00106827309
"54","St3pNy","UCMggu4tZ2N6SD4FebIbMDpA",1166303253,2002,2784990,3319,"Itália",351.402004519434
"55","PULCINO PIO","UCW4w39HG16HSuDkvLu4AIaA",1927583262,67,2695964,88,"Itália",21904.35525
"56","ilvostrocaroDexter","UCNo7m7faHS9t3nSDfWXvGww",793911380,223,2396172,1333,"Itália",595.582430607652
"57","Anima","UCHZl_sLl4kGZSkrPBrWb_aQ",451593355,36,2173998,1161,"Itália",388.969298018949
"58","Warner Music Italy","UC9PZVgJF-mX4aDDzLE4z5Zg",2012839455,736,2161426,1042,"Itália",1931.7077303263
"59","SurreaIPower","UC3V8twsHOUBGvM_xsQ_4ZJg",800208506,1568,2055072,3583,"Itália",223.334777002512
"60","CiccioGamer89","UC1jTVZboWRPpjGKAN921M5w",707681349,563,1981846,4210,"Itália",168.095332304038
"61","whinderssonnunes","UC3KQ5GWANYF8lChqjZpXsQw",1880323331,303,23738176,322,"Brasil",5839.51345031056
"62","Canal KondZilla","UCffDXn7ycAzwL2LDlbyWOTw",9568798961,339,19301462,514,"Brasil",18616.3403910506
"63","CanalCanalha","UCPHXtOVmjvbP9OJihsd7gCg",928163429,186,13924691,165,"Brasil",5625.2329030303
"64","Felipe Neto","UCV306eHqgo0LvBf3Mh36AHg",1844532634,9463,14391595,757,"Brasil",2436.63491941876
"65","Porta dos Fundos","UCEWHPFNilsT0IfQfutVzsag",3420537362,2510,13447668,753,"Brasil",4542.54629747676
"66","rezendeevil","UCbTVTephX30ZhQF5zwFppBg",4729872760,1346,13066955,5141,"Brasil",920.029714063412
"67","AuthenticGames","UCIPA6iWNaoetaa1T46RkzXw",4606873499,757,11111243,3034,"Brasil",1518.41578740936
"68","5incominutos","UC3RpTX6fEMJ6KBNTTgXJB9w",880207163,15739,10895075,296,"Brasil",2973.67284797297
"69","Canal Nostalgia","UCH2VZQBLFTOp6I_qgnBJCuQ",798840533,3073,10034005,299,"Brasil",2671.70746822742
"70","Parafernalha","UCddYq41_tZ1FnLlguLT6-Ow",1778557100,12261,9478643,549,"Brasil",3239.63041894353
"71","JustinBieberVEVO","UCHkj014U2CQ2Nv0UZeYpE_A",16208362127,471563,31749712,123,"Canadá",131775.301845528
"72","VanossGaming","UCKqH_9mk1waLgBiL2vT5b9g",8064335783,5053,21464234,690,"Canadá",11687.4431637681
"73","WatchMojo.com","UCaWd5_7JhbQBe4dknZhsHJg",9071616075,168,15425405,13449,"Canadá",674.519746821325
"74","IISuperwomanII","UCfm4y4rHF5HGrSr-qbvOwOg",2172960794,3768,12434820,635,"Canadá",3421.9855023622
"75","whinderssonnunes","UC3KQ5GWANYF8lChqjZpXsQw",1880323331,303,23738178,322,"Canadá",5839.51345031056
"76","TheRichest","UCdxi8d8qRsRyUi2ERYjYb-w",4797867587,0,9221953,1876,"Canadá",2557.49871375267
"77","Unbox Therapy","UCsTcErHg8oDvUnTzoqsYeNw",1586303870,2105,8770059,1276,"Canadá",1243.18485109718
"78","MrSuicideSheep","UC5nc_ZtjKW1htCVZVRxlQAQ",2922183997,4434,7399978,1799,"Canadá",1624.33796386882
"79","WolfieRaps","UCbI2XhhZwo4NEyg3oNv2Tsw",862902878,0,7153225,314,"Canadá",2748.09833757962
"80","Epic Meal Time","UCYjk_zY-iYR8YNfJmuzd70A",965594919,88488,7015757,658,"Canadá",1467.46948176292
